epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
93,6655.5,0.56291,1.02455,0.22232,0.21643,0.02556,11.3464,0.99514,0.99954,0.995,0.75824,0.99514,0.99954,0.9949,0.74935,1.07317,1.00194,0.12723,0.29881,0.05418,0,0.0007856,0.0007856,0.0007856
94,6724.47,0.57308,1.0552,0.21994,0.20748,0.0266,11.4101,1,0.99502,0.995,0.7327,0.99514,0.99873,0.99461,0.76742,1.17065,0.95501,0.08831,0.3143,0.06008,0,0.0007724,0.0007724,0.0007724
95,6793.45,0.55922,1.00891,0.21996,0.18993,0.02465,11.1784,0.99973,0.99512,0.995,0.75363,0.99483,0.99024,0.99441,0.8391,1.10643,0.73425,0.17802,0.31695,0.05725,0,0.0007592,0.0007592,0.0007592
96,6862.65,0.6041,1.04864,0.23536,0.20204,0.02756,11.3143,0.99981,1,0.995,0.77978,0.99493,0.99512,0.9931,0.79826,0.99864,0.87076,0.17905,0.26775,0.05095,0,0.000746,0.000746,0.000746
97,6931.49,0.51264,0.98773,0.24018,0.181,0.02281,11.1107,0.9979,1,0.995,0.76999,0.99514,0.99971,0.99471,0.83019,1.06057,0.77282,0.11907,0.2973,0.05358,0,0.0007328,0.0007328,0.0007328
98,7000.59,0.56826,1.05761,0.21645,0.20526,0.0258,11.4247,0.99494,0.99024,0.99485,0.72854,0.99494,0.99024,0.99338,0.75788,1.1649,0.96929,0.10898,0.3139,0.06048,0,0.0007196,0.0007196,0.0007196
99,7069.77,0.55046,0.98222,0.21569,0.20155,0.02489,11.2458,0.99032,0.99824,0.9949,0.73037,0.99032,0.99824,0.99461,0.81776,1.17694,0.79908,0.1287,0.31323,0.06125,0,0.0007064,0.0007064,0.0007064
100,7139.08,0.59596,0.98708,0.20741,0.20607,0.02718,11.3098,0.99872,0.99512,0.995,0.75449,0.99383,0.99024,0.99475,0.81228,1.07718,0.80129,0.13874,0.282,0.05496,0,0.0006932,0.0006932,0.0006932
101,7208.22,0.49604,0.9888,0.2142,0.1903,0.02274,11.1313,0.99459,0.99024,0.9948,0.7461,0.99459,0.99024,0.9949,0.76612,1.14645,0.97071,0.12128,0.3075,0.05802,0,0.00068,0.00068,0.00068
102,7279.17,0.5607,0.93805,0.21552,0.20632,0.02532,10.8261,0.98457,0.99512,0.99476,0.77856,0.98457,0.99512,0.99446,0.83175,0.99272,0.74643,0.16468,0.26282,0.05041,0,0.0006668,0.0006668,0.0006668
103,7350.92,0.55351,0.9284,0.22944,0.19944,0.02495,10.827,0.99856,0.98049,0.99481,0.7526,0.97993,1,0.99431,0.82691,1.07942,0.76413,0.12553,0.31429,0.05583,0,0.0006536,0.0006536,0.0006536
104,7424.43,0.54634,0.98509,0.22979,0.18656,0.02544,11.051,0.99048,0.99512,0.995,0.77397,0.98544,0.99024,0.99456,0.8334,1.00894,0.75684,0.13553,0.2656,0.05101,0,0.0006404,0.0006404,0.0006404
105,7497.17,0.5626,0.96919,0.2165,0.19258,0.02588,10.9801,1,0.99398,0.995,0.77102,0.98878,1,0.99461,0.81941,1.0139,0.7635,0.10332,0.26094,0.05174,0,0.0006272,0.0006272,0.0006272
106,7573.05,0.50674,0.90546,0.21121,0.18638,0.02267,10.6428,0.98556,0.999,0.99471,0.75753,0.98556,0.999,0.99436,0.84888,1.06146,0.68028,0.15529,0.31844,0.05428,0,0.000614,0.000614,0.000614
